session,subject,date,round,frames,frames_outlier,velocity_p50,velocity_p75,velocity_p90,velocity_p95,velocity_p99,motion_frac_thr5,motion_frac_thr10,motion_frac_thr20,motion_frac_thr40,n_transitions,n_forecast_samples_train,n_forecast_samples_test
108,YunzhuLi,2020-10-25,10,200,0,11.827038366797904,17.865892762384586,25.95054918308485,34.324843249130325,42.45469514578705,0.8542713567839196,0.6080402010050251,0.18090452261306533,0.02512562814070352,0,63,28
109,YunzhuLi,2020-10-25,10,200,0,44.54622809258419,58.422681338717794,73.05100906931442,80.77251934459211,102.73837620853763,1.0,0.9698492462311558,0.864321608040201,0.5678391959798995,0,63,28
110,YunzhuLi,2020-10-25,10,200,0,23.474429280180637,37.877909301231625,53.11005273755594,58.67001647533762,85.27464926967804,0.9748743718592965,0.8844221105527639,0.592964824120603,0.23115577889447236,0,63,28
111,YunzhuLi,2020-10-25,10,200,0,11.694977204702617,21.595141754535522,44.24329833145711,56.66903950106314,78.6001174958035,0.864321608040201,0.5979899497487438,0.27638190954773867,0.12060301507537688,0,63,28
112,YunzhuLi,2020-10-25,10,200,0,15.468391118107542,20.43192140817891,26.34506011194806,34.09155567819258,48.693805232061976,0.9396984924623115,0.7487437185929648,0.2562814070351759,0.02512562814070352,0,63,28
113,YunzhuLi,2020-10-25,10,200,0,10.6104366992779,21.15076581125991,30.9989972972394,38.218193001992496,46.54368879341755,0.7989949748743719,0.542713567839196,0.2613065326633166,0.03015075376884422,0,63,28
114,YunzhuLi,2020-10-25,11,200,0,21.829231493895076,29.203059635173936,38.344353488263415,44.29411674580511,56.73663002590216,0.9045226130653267,0.7537688442211056,0.5477386934673367,0.07537688442211055,1,63,28
115,YunzhuLi,2020-10-25,11,200,0,23.85964066851439,50.049965181051775,79.57135624820403,88.4564105888388,102.6482826443368,0.9195979899497487,0.7839195979899497,0.5628140703517588,0.32160804020100503,0,63,28
116,YunzhuLi,2020-10-25,11,200,0,14.617447936823769,26.425917778694615,47.37167697328106,69.25981838957809,92.00846944525904,0.7989949748743719,0.6030150753768844,0.36683417085427134,0.16080402010050251,1,63,28
117,YunzhuLi,2020-10-25,11,200,0,14.785757812885878,21.816704902128414,27.162942514086108,30.066203327359947,39.478994995742596,0.9246231155778895,0.6984924623115578,0.32160804020100503,0.010050251256281407,0,63,28
118,YunzhuLi,2020-10-25,11,200,0,6.800919431824695,12.405597385654575,20.17534415107768,22.813816035406397,45.5347891687509,0.6532663316582915,0.35175879396984927,0.10552763819095477,0.02512562814070352,0,63,28
119,YunzhuLi,2020-10-25,11,200,0,18.683699078141647,28.764341069308358,37.603212950217916,47.89508040578378,100.49553508504073,0.9346733668341709,0.7939698492462312,0.4472361809045226,0.09045226130653267,0,63,28
120,YunzhuLi,2020-10-25,11,200,0,32.63959349214,63.602501339139025,125.98472016796944,301.518425551148,351.48099767228325,0.9748743718592965,0.9045226130653267,0.6934673366834171,0.3869346733668342,0,63,28
121,ZeyuWu,2020-10-24,20,200,0,22.938349061021327,44.05087641563574,91.59370727897019,185.5219177973821,263.03507985289696,0.964824120603015,0.8542713567839196,0.5778894472361809,0.27638190954773867,0,63,28
122,ZeyuWu,2020-10-24,20,200,0,33.577288178503366,42.82335937942328,51.83355167418974,54.697163511460914,63.830378150990136,0.9798994974874372,0.9045226130653267,0.7386934673366834,0.3165829145728643,0,63,28
123,ZeyuWu,2020-10-24,20,200,0,9.91639821351894,15.7069351980955,28.59908792488569,39.762269935075345,73.04305583010463,0.8090452261306532,0.49246231155778897,0.19095477386934673,0.05025125628140704,1,63,28
124,ZeyuWu,2020-10-24,20,200,0,10.532580123038853,19.336988860560645,28.751289774044135,43.04041714707883,68.53527714597993,0.7839195979899497,0.5125628140703518,0.24623115577889448,0.05527638190954774,0,63,28
125,ZeyuWu,2020-10-24,20,200,0,22.95784345336943,54.25366892725591,74.54397900751157,90.21340308935547,103.4737023040514,0.8542713567839196,0.7386934673366834,0.5728643216080402,0.3417085427135678,1,63,28
126,ZeyuWu,2020-10-24,20,200,0,9.716818367607006,16.326734421071354,23.5036141239797,26.682820570161795,32.72181322721006,0.7688442211055276,0.48743718592964824,0.1507537688442211,0.0,0,63,28
